,sound,midpoint,word,phoneme,stress,duration,intensity,F0,F1,F2,F3,Vowel,Context,F1/S(F1),F2/S(F2),F1g/S(F1g),F2g/S(F2g)
261,ngf_00610_00122793248,5.585,stored,ɔ,NA,0.1500000000000000,69.33890774218330,201.04320675242500,576.9666903177090,1117.5951966733200,3131.155329221460,THOUGHT,stored,1.272,0.782,NA,NA
263,ngf_00610_00122793248,5.775,on,ɔ,NA,0.1300000000000000,55.78193385536960,--undefined--,566.5413345191970,1305.163438960140,2650.480873698000,THOUGHT,on,1.249,0.913,NA,NA
266,ngf_00610_00122793248,5.985000000000000,devices,i,NA,0.0499999999999998,57.6550711715658,165.75610666586000,305.7790852324420,2612.885238291730,2865.7192476281500,HAPPY,devices,0.674,1.828,NA,NA
270,ngf_00610_00122793248,6.415,devices,ɛ,NA,0.1099999999999990,62.275352420363500,206.0318298900500,396.7004065173730,2233.09427523422,2868.1918401543600,DRESS,devices,0.874,1.563,NA,NA
273,ngf_00610_00122793248,6.695,where,ɛː,NA,0.0899999999999998,66.86177705607850,186.81833930201900,553.0159497963120,1808.152622813130,2111.192498562190,GLARE,where,1.219,1.265,NA,NA
278,ngf_00610_00122793248,7.225,match,a,NA,0.0899999999999998,61.94152348950160,166.68236484168900,843.017353042009,1546.8975128996500,2327.178445332150,BAT,match,1.858,1.082,NA,NA
280,ngf_00610_00122793248,7.405,is,i,NA,0.0899999999999998,50.01557477407990,--undefined--,403.6091117892450,2240.762083772870,2825.478348394040,HAPPY,is,0.89,1.568,NA,NA
283,ngf_00610_00122793248,7.66,turned,aː,NA,0.0999999999999996,59.35603652769940,157.88457429981300,709.5514393409870,1737.1777254182300,2440.318918673910,GIRL,turned,1.564,1.216,NA,NA
286,ngf_00610_00122793248,7.885,on,ɔ,NA,0.0899999999999998,56.87040350321560,151.62511739761300,723.9921036170930,1414.352707571950,2679.54224527698,THOUGHT,on,1.596,0.99,NA,NA
290,ngf_00610_00310506659,0.815,the,i,NA,0.1100000000000000,41.35582995361300,--undefined--,257.193484009879,2320.433930179780,3141.7320186727100,HAPPY,the,0.567,1.624,NA,NA
292,ngf_00610_00310506659,0.975,geographical,i,0,0.05,67.23451638921110,222.3078504724790,430.4744415652030,1902.6912120300300,2306.9792981638500,HAPPY,geographical,0.949,1.331,NA,NA
293,ngf_00610_00310506659,1.015,geographical,ɔ,0,0.03,67.90948599276810,230.59067225467900,448.7211401881540,1356.6489237183700,2450.088264451220,THOUGHT,geographical,0.989,0.949,NA,NA
296,ngf_00610_00310506659,1.15,geographical,a,1,0.0599999999999998,65.3025453834901,287.98357599632900,808.0044220172320,1591.072294244680,2095.195049445810,BAT,geographical,1.781,1.113,NA,NA
298,ngf_00610_00310506659,1.285,geographical,i,0,0.03,53.56416816813750,296.5092200238400,382.2383435163840,2063.84227741092,2546.2626230908800,HAPPY,geographical,0.843,1.444,NA,NA
300,ngf_00610_00310506659,1.435,geographical,a,0,0.07,63.16944400856110,279.64424712743900,691.4576966738110,1417.3756966882700,2874.0171848040000,BAT,geographical,1.524,0.992,NA,NA
303,ngf_00610_00310506659,1.61,location,o,0,0.0399999999999998,63.47612433693600,192.96150281782900,400.44384835973000,1169.7992907015400,2930.8183633929800,HOAX,location,0.883,0.819,NA,NA
305,ngf_00610_00310506659,1.78,location,e,1,0.06,64.81145019973430,197.6386674510480,392.9420920186760,2505.54104298358,2931.981259594190,FACE,location,0.866,1.753,NA,NA
307,ngf_00610_00310506659,1.925,location,ɔ,0,0.03,62.07488415227290,214.04500341121600,585.7365970506730,1904.2248879301500,3036.3274324995500,THOUGHT,location,1.291,1.333,NA,NA
309,ngf_00610_00310506659,2.02,of,ɔ,NA,0.04,61.90647192544880,177.53420955350400,601.2972711021820,1588.401763172050,2901.175446661700,THOUGHT,of,1.325,1.112,NA,NA
312,ngf_00610_00310506659,2.175,the,i,NA,0.0699999999999998,55.1399510950915,--undefined--,417.6203165723030,2186.169474954160,2841.6924844293100,HAPPY,the,0.921,1.53,NA,NA
313,ngf_00610_00310506659,2.26,upper,ɔ,1,0.1,52.90668835719590,--undefined--,661.4928375770110,1202.5795051486700,2827.1355920413500,THOUGHT,upper,1.458,0.842,NA,NA
315,ngf_00610_00310506659,2.4400000000000000,upper,a,0,0.06,60.69885623028940,201.94085311724600,599.1081490336400,1498.4719772871400,2149.962630641700,BAT,upper,1.321,1.049,NA,NA
317,ngf_00610_00310506659,2.64,region,iː,1,0.06,58.396031577686700,163.64215463399400,326.5408952716080,2504.126375205750,2776.897866227840,FLEECE,region,0.72,1.752,NA,NA
319,ngf_00610_00310506659,2.825,region,ɔ,0,0.1100000000000000,57.32655238374860,158.3152352380860,680.0770910703490,1791.1346692374400,2660.4503162650000,THOUGHT,region,1.499,1.253,NA,NA
323,ngf_00610_00310506659,3.415,changed,e,NA,0.0899999999999998,67.79535508930920,253.29336811881400,426.85317824669100,2222.230906667420,2970.886271737070,FACE,changed,0.941,1.555,NA,NA
327,ngf_00610_00310506659,3.565,over,o,NA,0.0499999999999998,66.19588776976040,216.67268050320500,465.5020379603200,1752.68704550064,2778.4404625249400,HOAX,over,1.026,1.226,NA,NA
